section_index	manifest_index	path	title_uz	source_title	source_file_lines	target_lines	source_snapshot_bundled	source_check	translation_status	technical_review	language_review	raw_source_url
1	30	data_structures/stack_queue_modification.md	Minimum Stack va Minimum Queue	Minimum Stack / Minimum Queue	192	185	true	automated_against_bundled_snapshot	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/stack_queue_modification.md
2	31	data_structures/sparse-table.md	Sparse Table	Sparse Table	155	160	false	manual_pinned_source_review	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/sparse-table.md
3	32	data_structures/disjoint_set_union.md	Kesishmaydigan to‘plamlar birlashmasi (DSU)	Disjoint Set Union	592	489	true	automated_against_bundled_snapshot	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/disjoint_set_union.md
4	33	data_structures/fenwick.md	Fenwick daraxti	Fenwick Tree	458	457	false	manual_pinned_source_review	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/fenwick.md
5	34	data_structures/sqrt_decomposition.md	Sqrt Decomposition	Sqrt Decomposition	250	219	true	automated_against_bundled_snapshot	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/sqrt_decomposition.md
6	35	data_structures/segment_tree.md	Segment daraxti	Segment Tree	1213	1211	true	automated_against_bundled_snapshot	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/segment_tree.md
7	36	data_structures/treap.md	Treap	Treap	384	416	false	manual_pinned_source_review	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/treap.md
8	37	data_structures/sqrt-tree.md	Sqrt Tree	Sqrt Tree	351	345	true	automated_against_bundled_snapshot	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/sqrt-tree.md
9	38	data_structures/randomized_heap.md	Tasodifiylashtirilgan heap	Randomized Heap	113	108	false	manual_pinned_source_review	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/randomized_heap.md
10	39	data_structures/deleting_in_log_n.md	Ma’lumotlar tuzilmasidan O(T(n) log n) da o‘chirish	Deleting from a data structure in O(T(n) log n)	145	150	false	manual_pinned_source_review	ai_full_translation_draft	pending	pending	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/data_structures/deleting_in_log_n.md
