navigation_index	section	path	source_title	title_uz	source_url	raw_url	source_commit	snapshot_bundled	snapshot_path	source_sha256	source_lines	target_lines	automated_source_comparison	source_fenced_code_blocks	target_fenced_code_blocks	fenced_code_blocks_exact	display_math_blocks_preserved_in_order	source_links_preserved	inline_code_tokens_preserved	heading_count_preserved_with_attribution	all_automated_structural_checks_passed	technical_review	language_review
1	Combinatorics	algebra/factorial-divisors.md	Finding Power of Factorial Divisor	Faktorial bo‘luvchisining darajasini topish	https://cp-algorithms.com/algebra/factorial-divisors.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/algebra/factorial-divisors.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/algebra/factorial-divisors.md	5829b11afb6afb32ac581bfb3e39a1f5720463196a9b69c15cc36c0f9322f5ae	49	84	True	1	1	True	True	True	True	True	True	pending	pending
2	Combinatorics	combinatorics/binomial-coefficients.md	Binomial Coefficients	Binomial koeffitsiyentlar	https://cp-algorithms.com/combinatorics/binomial-coefficients.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/binomial-coefficients.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/combinatorics/binomial-coefficients.md	d26c773b247f768be7b47ce2adeb44134be0a026ea91da5a2c03735e654da4e2	239	273	True	6	6	True	True	True	True	True	True	pending	pending
3	Combinatorics	combinatorics/catalan-numbers.md	Catalan Numbers	Catalan sonlari	https://cp-algorithms.com/combinatorics/catalan-numbers.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/catalan-numbers.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/combinatorics/catalan-numbers.md	5050a9c6dd737fee46ac8ed1f18f9f627db34a91fc4101895551883d69aa7c2a	96	128	True	1	1	True	True	True	True	True	True	pending	pending
4	Combinatorics	combinatorics/inclusion-exclusion.md	The Inclusion-Exclusion Principle	Kiritish–chiqarish prinsipi	https://cp-algorithms.com/combinatorics/inclusion-exclusion.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/inclusion-exclusion.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False				516	False		2							pending	pending
5	Combinatorics	combinatorics/burnside.md	Burnside's lemma / Pólya enumeration theorem	Burnside lemmasi va Pólya sanash teoremasi	https://cp-algorithms.com/combinatorics/burnside.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/burnside.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False				332	False		1							pending	pending
6	Combinatorics	combinatorics/stars_and_bars.md	Stars and bars	Yulduzlar va ajratgichlar usuli	https://cp-algorithms.com/combinatorics/stars_and_bars.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/stars_and_bars.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/combinatorics/stars_and_bars.md	fb25f7b8c09e0455216147d20ffb0d4339fedf410834eb78a092e0c5ae3ce092	82	111	True	0	0	True	True	True	True	True	True	pending	pending
7	Combinatorics	combinatorics/generating_combinations.md	Generating all K-combinations	Barcha K-kombinatsiyalarni hosil qilish	https://cp-algorithms.com/combinatorics/generating_combinations.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/generating_combinations.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/combinatorics/generating_combinations.md	b883bba1d9009f77a8d1d4f20a717630357360cf6b709a33367738579eaca614	141	154	True	3	3	True	True	True	True	True	True	pending	pending
8	Combinatorics	combinatorics/bishops-on-chessboard.md	Placing Bishops on a Chessboard	Shaxmat taxtasiga fillarni joylashtirish	https://cp-algorithms.com/combinatorics/bishops-on-chessboard.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/bishops-on-chessboard.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False				111	False		3							pending	pending
9	Combinatorics	combinatorics/bracket_sequences.md	Balanced bracket sequences	Muvozanatlangan qavslar ketma-ketliklari	https://cp-algorithms.com/combinatorics/bracket_sequences.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/bracket_sequences.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/combinatorics/bracket_sequences.md	d918c766b5f6ea3c67cec69604ed20f4dcfe28d4c37dea660b36d3a823c3a600	272	301	True	3	3	True	True	True	True	True	True	pending	pending
10	Combinatorics	combinatorics/counting_labeled_graphs.md	Counting labeled graphs	Belgilangan graflarni sanash	https://cp-algorithms.com/combinatorics/counting_labeled_graphs.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/combinatorics/counting_labeled_graphs.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/combinatorics/counting_labeled_graphs.md	d913d08d3577996382f213b9d935fcda9f707f6f994b23a572f422a2037a2e20	57	96	True	0	0	True	True	True	True	True	True	pending	pending
11	String Processing	string/string-hashing.md	String Hashing	Satrlarni xeshlash	https://cp-algorithms.com/string/string-hashing.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/string-hashing.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/string/string-hashing.md	50017f13fa42713f12028fadd606e93ab30908c287d56804a6ba8751e64ffbc7	197	244	True	3	3	True	True	True	True	True	True	pending	pending
12	String Processing	string/rabin-karp.md	Rabin-Karp Algorithm for string matching	Satrda andozani qidirish uchun Rabin–Karp algoritmi	https://cp-algorithms.com/string/rabin-karp.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/rabin-karp.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/string/rabin-karp.md	565a3f1f81a13c106a242d3b93de6ccbac01407f07e1178eff7163ab808f3d0d	56	84	True	1	1	True	True	True	True	True	True	pending	pending
13	String Processing	string/prefix-function.md	Prefix function. Knuth–Morris–Pratt algorithm	Prefiks funksiyasi. Knuth–Morris–Pratt algoritmi	https://cp-algorithms.com/string/prefix-function.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/prefix-function.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/string/prefix-function.md	2ee65f86edad83ab7180bb39d2e85ee5abe18601e954e02a14f5190b871803ed	387	411	True	5	5	True	True	True	True	True	True	pending	pending
14	String Processing	string/z-function.md	Z-function and its calculation	Z-funksiya va uni hisoblash	https://cp-algorithms.com/string/z-function.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/z-function.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/string/z-function.md	ffcebd38db34f02c6e79aefaf860cf0a8be93817b6fc01819086b8f2c5a5b167	216	245	True	2	2	True	True	True	True	True	True	pending	pending
15	String Processing	string/suffix-array.md	Suffix Array	Suffikslar massivi	https://cp-algorithms.com/string/suffix-array.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/suffix-array.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False				353	False		7							pending	pending
16	String Processing	string/aho_corasick.md	Aho-Corasick algorithm	Aho–Corasick algoritmi	https://cp-algorithms.com/string/aho_corasick.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/aho_corasick.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False				240	False		3							pending	pending
17	String Processing	string/suffix-tree-ukkonen.md	Suffix Tree. Ukkonen's Algorithm	Suffiks daraxti. Ukkonen algoritmi	https://cp-algorithms.com/string/suffix-tree-ukkonen.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/suffix-tree-ukkonen.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False				245	False		3							pending	pending
18	String Processing	string/suffix-automaton.md	Suffix Automaton	Suffiks avtomati	https://cp-algorithms.com/string/suffix-automaton.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/string/suffix-automaton.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	True	upstream/src/string/suffix-automaton.md	6a2640372afc19e1853017ceebcb8ceca99d1cc819987f35efc416c0406baa59	790	819	True	8	8	True	True	True	True	True	True	pending	pending
