navigation_index	section	subcategory	path	source_title	title_uz	source_url	raw_url	source_commit	snapshot_bundled	snapshot_path	translation_fidelity	target_lines	target_characters	target_fenced_code_blocks	target_display_math_blocks	target_headings	target_link_targets	automated_source_comparison	technical_review	language_review
1	Geometry	Elementary operations	geometry/basic-geometry.md	Basic Geometry	Geometriya asoslari	https://cp-algorithms.com/geometry/basic-geometry.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/basic-geometry.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	324	10300	7	15	11	2	False	pending	pending
2	Geometry	Elementary operations	geometry/segment-to-line.md	Finding the equation of a line for a segment	Kesma uchun to‘g‘ri chiziq tenglamasini topish	https://cp-algorithms.com/geometry/segment-to-line.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/segment-to-line.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	124	3931	2	8	5	2	False	pending	pending
3	Geometry	Elementary operations	geometry/lines-intersection.md	Intersection Point of Lines	To‘g‘ri chiziqlarning kesishish nuqtasi	https://cp-algorithms.com/geometry/lines-intersection.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/lines-intersection.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	168	4577	4	7	6	2	False	pending	pending
4	Geometry	Elementary operations	geometry/check-segments-intersection.md	Check if two segments intersect	Ikki kesma kesishishini tekshirish	https://cp-algorithms.com/geometry/check-segments-intersection.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/check-segments-intersection.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	94	4389	1	3	6	2	False	pending	pending
5	Geometry	Elementary operations	geometry/segments-intersection.md	Intersection of Segments	Kesmalar kesishmasi	https://cp-algorithms.com/geometry/segments-intersection.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/segments-intersection.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	138	4789	4	0	6	2	False	pending	pending
6	Geometry	Elementary operations	geometry/circle-line-intersection.md	Circle-Line Intersection	Aylana va to‘g‘ri chiziq kesishmasi	https://cp-algorithms.com/geometry/circle-line-intersection.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/circle-line-intersection.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	140	4470	2	8	6	2	False	pending	pending
7	Geometry	Elementary operations	geometry/circle-circle-intersection.md	Circle-Circle Intersection	Ikki aylananing kesishmasi	https://cp-algorithms.com/geometry/circle-circle-intersection.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/circle-circle-intersection.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	154	4400	1	9	6	3	False	pending	pending
8	Geometry	Elementary operations	geometry/tangents-to-two-circles.md	Common tangents to two circles	Ikki aylanaga umumiy urinmalar	https://cp-algorithms.com/geometry/tangents-to-two-circles.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/tangents-to-two-circles.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	138	4662	3	6	6	3	False	pending	pending
9	Geometry	Elementary operations	geometry/length-of-segments-union.md	Length of the union of segments	Kesmalar birlashmasining uzunligi	https://cp-algorithms.com/geometry/length-of-segments-union.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/length-of-segments-union.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	93	4386	2	0	6	2	False	pending	pending
10	Geometry	Polygons	geometry/oriented-triangle-area.md	Oriented area of a triangle	Uchburchakning yo‘nalgan yuzi	https://cp-algorithms.com/geometry/oriented-triangle-area.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/oriented-triangle-area.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	100	4438	2	2	6	4	False	pending	pending
11	Geometry	Polygons	geometry/area-of-simple-polygon.md	Area of simple polygon	Sodda ko‘pburchak yuzi	https://cp-algorithms.com/geometry/area-of-simple-polygon.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/area-of-simple-polygon.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	107	4093	2	5	8	2	False	pending	pending
12	Geometry	Polygons	geometry/point-in-convex-polygon.md	Check if points belong to the convex polygon in O(log N)	Nuqtaning qavariq ko‘pburchakka tegishliligini O(log N) da tekshirish	https://cp-algorithms.com/geometry/point-in-convex-polygon.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/point-in-convex-polygon.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	165	5854	3	4	6	2	False	pending	pending
13	Geometry	Polygons	geometry/minkowski.md	Minkowski sum of convex polygons	Qavariq ko‘pburchaklarning Minkowski yig‘indisi	https://cp-algorithms.com/geometry/minkowski.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/minkowski.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	136	5449	1	5	7	5	False	pending	pending
14	Geometry	Polygons	geometry/picks-theorem.md	Pick's Theorem - area of lattice polygons	Pick teoremasi — panjaraviy ko‘pburchak yuzi	https://cp-algorithms.com/geometry/picks-theorem.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/picks-theorem.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	138	4472	1	10	7	3	False	pending	pending
15	Geometry	Polygons	geometry/lattice-points.md	Lattice points of non-lattice polygon	Panjaraviy bo‘lmagan ko‘pburchakdagi panjara nuqtalari	https://cp-algorithms.com/geometry/lattice-points.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/lattice-points.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	137	6172	1	8	9	3	False	pending	pending
16	Geometry	Convex hull	geometry/convex-hull.md	Convex hull construction	Qavariq qobiqni qurish	https://cp-algorithms.com/geometry/convex-hull.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/convex-hull.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	171	8573	2	0	7	10	False	pending	pending
17	Geometry	Convex hull	geometry/convex_hull_trick.md	Convex hull trick and Li Chao tree	Convex Hull Trick va Li Chao Tree	https://cp-algorithms.com/geometry/convex_hull_trick.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/convex_hull_trick.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	154	7444	4	3	4	3	False	pending	pending
18	Geometry	Sweep-line	geometry/intersecting_segments.md	Search for a pair of intersecting segments	Kesishuvchi kesmalar juftini topish	https://cp-algorithms.com/geometry/intersecting_segments.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/intersecting_segments.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	155	7057	2	0	4	3	False	pending	pending
19	Geometry	Planar graphs	geometry/planar.md	Finding faces of a planar graph	Tekis graf yuzlarini topish	https://cp-algorithms.com/geometry/planar.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/planar.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	152	6940	2	3	5	4	False	pending	pending
20	Geometry	Planar graphs	geometry/point-location.md	Point location in O(log N)	Nuqta joylashuvini O(log N) da aniqlash	https://cp-algorithms.com/geometry/point-location.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/point-location.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	145	7243	4	0	6	2	False	pending	pending
21	Geometry	Miscellaneous	geometry/nearest_points.md	Finding the nearest pair of points	Eng yaqin nuqtalar juftini topish	https://cp-algorithms.com/geometry/nearest_points.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/nearest_points.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	161	6073	1	6	5	2	False	pending	pending
22	Geometry	Miscellaneous	geometry/delaunay.md	Delaunay triangulation and Voronoi diagram	Delaunay triangulyatsiyasi va Voronoi diagrammasi	https://cp-algorithms.com/geometry/delaunay.html	https://raw.githubusercontent.com/cp-algorithms/cp-algorithms/85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681/src/geometry/delaunay.md	85a94001d46b9f34d3b2cf26aca6bd0f7a7e8681	False		source_ordered_full_translation	349	13104	1	1	9	8	False	pending	pending
